Date,Site,"Station
Depth
(m)","Sample
Depth
(m)",Sample Depth (category),Time,"Latitude
(decimal degrees)","Longitude
(decimal degrees)",Sky,"Secchi
Depth
(m)","CTD Temperature
(°C)","CTD Specific Conductivity
(µS/cm)","CTD Beam Attenuation
(m-1)","CTD Transmission
(%)","CTD Dissolved Oxygen
(mg/L)","CTD Photosynthetically Active Radiation
(µE/m2/s)","Turbidity
(NTU)","Particulate
Microcystin
(µg/L)","Dissolved
Microcystin
(µg/L)","Extracted
Phycocyanin
(µg/L)","Extracted
Chlorophyll ?
(µg/L)",Total Phosphorus (µg/L),Total Dissolved Phosphorus (µg/L),Soluble Reactive Phosphorus (µg/L),Ammonia (µg/L),Nitrate + Nitrite (mg/L),Urea (µg/L),Particulate Organic Carbon (mg/L),Particulate Organic Nitrogen (mg/L),Dissolved Organic Carbon (mg/L),Colored Dissolved Organic Material absorbance (m-1) at 400nm ,Total Suspended Solids (mg/L),Volatile Suspended Solids (mg/L)
7/7/2016,SB2,3.9,0.75,Surface,10:27,43.6666,-83.8053,sunny,3.5,23.9,331.2,1.7,66.7,8.95,1297,16.7,9.56,0.3,15.08,35.11,2.2,<0.25,0.64,11.54,0.579,3.75,3.35,0.56,4.14,1.07,7.97,6.72
7/7/2016,SB4,6.2,0.75,Surface,7:47,43.7374,-83.8761,sunny,3.5,23.1,326.4,1.9,62.6,8.44,515,1.35,0.46,0.12,0.74,4.51,0.74,<0.25,0.68,12.43,0.535,3.29,0.52,0.07,3.68,0.83,1.97,0.83
7/7/2016,SB5,3.8,0.75,Surface,8:31,43.8945,-83.8607,sunny,4.1,23.8,328,0.9,79.5,6.88,834,0.83,0.91,0.1,0.57,4.5,0.56,<0.25,0.79,12.44,0.568,3.1,0.67,0.08,3.79,0.85,1.46,1.04
7/7/2016,SB14,3.7,0.75,Surface,9:21,43.7387,-83.6421,sunny,1.8,24.1,351.9,2.7,51.6,7.36,769,0.59,1.7,0.1,5.3,13.29,0.73,<0.25,0.8,7.36,0.57,1.96,1.87,0.22,4.39,1.05,5.68,3.82
7/21/2016,SB1,3.9,0.75,Surface,12:57,43.6389,-83.6626,cloudy,1.2,24.5,340.3,5,28.6,8.97,436,9.02,5.02,0.19,5.64,23.4,1.09,0.33,4.47,29.13,0.18,2.93,2.94,0.44,4.56,1,6.95,9.31
7/21/2016,SB2,4.1,0.75,Surface,11:54,43.667,-83.8094,mostly sunny,1.2,24.2,322.9,3,46.9,8.86,742,6.04,3.25,0.3,2.33,17.75,1.21,0.3,1,221.26,0.294,2.19,1.98,0.3,3.7,0.82,7.8,5.91
7/21/2016,SB4,5.7,0.75,Surface,7:49,43.7377,-83.8773,sunny,1.4,23.7,287.9,3,47.1,7.55,88,4.07,1.06,0.12,2.31,15.21,1,0.26,0.98,42.15,0.233,2.04,1.31,0.19,3.23,0.66,7.83,3.18
7/21/2016,SB5,3.5,0.75,Surface,9:32,43.8923,-83.8587,sunny,2,24,287.3,2.2,57.6,9.15,223,2.46,2.16,0.1,2.18,11.77,0.77,<0.25,0.96,114.98,0.248,3.98,1.61,0.22,3.39,0.62,5.81,3.88
8/11/2016,SB1,3.8,0.75,Surface,9:49,43.6704,-83.654,cloudy,1.3,25.4,306.9,3.2,44.5,7.3,368,3.47,0.38,0.35,0.81,8.49,11.45,1.97,0.92,8.47,0.002,3.89,2.05,0.22,4.88,0.68,7.27,5.34
8/11/2016,SB2,4.1,0.75,Surface,10:20,43.6672,-83.7623,cloudy,1.9,25.5,345.6,4.7,31.2,7.51,240,5.42,1.21,0.22,2.7,17.44,25.31,3.22,7.09,10.42,0.01,1.75,1.99,0.26,4.56,0.97,7.3,3.77
8/11/2016,SB4,6.3,0.75,Surface,7:45,43.7316,-83.875,sunny,1.5,25.3,270.2,3.3,44.2,8.21,175,3.65,0.25,0.19,1.39,8.65,16.08,2.54,1.26,7.95,<0.002,<0.9,1.45,0.19,3.67,0.52,5.87,3.14
8/11/2016,SB5,3.5,0.75,Surface,8:26,43.894,-83.8468,sunny,1.3,25.2,227.3,3.8,38.8,7.5,92,4.09,0.57,0.3,1.3,9.2,16.05,2.29,0.91,7.75,0.004,<0.9,2.12,0.24,3.48,0.44,7.83,4.84
8/11/2016,SB14,3.8,0.75,Surface,9:17,43.7678,-83.6854,cloudy,1.3,25.5,308.3,4.1,35.7,7.97,290,3.35,0.75,0.26,0.77,8.87,13.13,2.31,1.17,3.64,0.01,3.27,2.22,0.23,4.45,0.8,6.83,5.27
8/25/2016,SB1,3.8,0.75,Surface,9:15,43.6393,-83.661,rain,1.3,23.2,338.3,4.7,31.3,6.72,16,8.01,2.06,0.26,8.72,26.72,22.22,2.63,2.27,38.84,0.02,1.74,2.76,0.32,4.79,1.02,11.1,5.76
8/25/2016,SB2,3.8,0.75,Surface,9:36,43.6667,-83.8068,rain,1.3,23.6,279.6,4.9,29.7,7.27,97,7.2,1,0.25,3.83,21.74,30.39,2.43,1.71,22.76,0.003,3.9,2.13,0.29,3.62,0.71,11.13,4.41
8/25/2016,SB4,6.3,0.75,Surface,7:41,43.7371,-83.8765,cloudy,1.3,23.7,249.4,4,37,6.88,42,5.2,0.33,0.15,3.13,18.77,29.43,2.7,1.96,6.96,<0.002,2.39,1.51,0.22,2.98,0.47,9.73,2.77
8/25/2016,SB5,3.7,0.75,Surface,8:11,43.8944,-83.8611,cloudy,1.8,23.4,250.1,2.6,52.7,8.21,61,3.42,0.45,0.19,2.03,12.2,18.17,2.3,1.48,12.83,<0.002,0.98,1.26,0.16,3.06,0.52,5.9,2.69
8/25/2016,SB14,4.2,0.75,Surface,8:52,43.7383,-83.6409,cloudy,1.3,23.5,255.4,3.1,46.4,7.75,40,3.96,0.71,0.22,3.91,16.38,17.55,1.87,1.7,23.9,<0.002,<0.9,1.89,0.24,3.17,0.57,7.62,3.94
9/7/2016,SB1,3.8,0.75,Surface,9:34,43.6398,-83.661,sunny,0.9,23.4,298.7,4.2,34.6,8.96,207,5.33,0.19,0.12,0.81,8.38,13.87,17.04,1.22,15.66,<0.002,1.25,2.24,0.24,4.77,0.64,8.3,2.91
9/7/2016,SB2,4,0.75,Surface,10:01,43.6667,-83.8068,sunny,0.9,23.8,327.1,5,28.3,9.32,692,5.06,0.55,0.16,2.95,12.01,19.95,2.68,1.88,5.24,0.047,2.63,1.68,0.21,4.47,1.02,6.85,2.61
9/7/2016,SB4,6.4,0.75,Surface,7:45,43.7381,-83.8758,cloudy,1,23.1,263.8,3.7,39.2,8.23,23,5.27,0.56,<0.1,5.76,15.06,21.67,2.49,1.36,8.39,<0.002,1.13,1.7,0.28,3.36,0.65,8.15,3.06
9/7/2016,SB5,3.4,0.75,Surface,8:22,43.8952,-83.8605,cloudy,1.3,23.5,247.6,3.3,44,8.25,219,2.97,0.21,<0.1,0.7,7.17,17.83,1.88,1.39,36.76,<0.002,1.31,1.42,0.19,3.22,0.44,5.2,2.37
9/7/2016,SB14,3.9,0.75,Surface,9:07,43.7383,-83.6408,sunny,1.1,23.3,269.7,4.1,35.9,8.5,230,4.87,0.24,<0.1,1.22,8.71,13.83,2.33,1.11,6.02,<0.002,1.95,1.64,0.19,3.63,0.56,6.8,3.51
9/22/2016,SB1,3.8,0.75,Surface,10:10,43.6396,-83.6613,cloudy,0.7,20.9,317.6,5.2,27.2,7.55,195,7.35,0.33,<0.1,1.61,12.5,19.06,2.74,1.33,29.2,0.002,1.87,3.13,0.36,4.87,0.8,11.9,7.02
9/22/2016,SB2,3.7,0.75,Surface,10:38,43.6667,-83.8068,partly sunny,1.4,21,242.9,3.1,46.6,7.8,420,4.07,0.29,<0.1,5.63,12.37,18.46,1.75,0.69,32.38,0.014,1.36,1.39,0.19,2.81,0.31,5.57,2.87
9/22/2016,SB4,6.3,0.75,Surface,8:15,43.7375,-83.8767,cloudy,1.4,21,243.4,3.2,45.1,8.17,55,5.01,0.22,<0.1,3.45,12.46,21.01,2.79,0.87,11.21,<0.002,1.51,1.36,0.2,2.9,0.35,3.77,2.74
9/22/2016,SB5,3.6,0.75,Surface,8:53,43.8952,-83.8605,foggy,1.3,21,281.2,3.5,41.9,8.18,93,4.85,0.38,<0.1,4.13,13.22,21.72,3.01,0.94,15.16,<0.002,1.62,2.17,0.27,3.76,0.59,8.75,5.16
9/22/2016,SB14,4.3,0.75,Surface,9:40,43.7378,-83.6408,cloudy,2.5,20.9,236,1.9,62.8,8,213,1.65,0.16,<0.1,2.27,8.49,11.24,1.94,0.94,11.58,0.007,1.3,1.15,0.15,2.66,0.3,3.43,2.31
10/6/2016,SB1,3.7,0.75,Surface,11:08,43.6398,-83.6608,foggy,1,17.4,302.6,5.3,26.8,9.22,175,5.44,0.15,0.1,1.17,8.76,17.74,3.34,1.42,29.75,<0.002,3.05,2.96,0.34,4.79,0.53,9.63,5.51
10/6/2016,SB2,3.8,0.75,Surface,12:09,43.667,-83.8056,foggy,2.5,18.2,194.3,4,44.4,8.48,271,1.89,0.12,0.1,0.41,5.76,12.28,3.54,1.55,21.42,<0.002,<0.9,1.14,0.13,2.97,0.31,3,1.84
10/6/2016,SB4,5.9,0.75,Surface,8:57,43.7378,-83.8764,foggy,1.1,17.4,285.1,4.1,35.7,8.26,76,5.81,0.7,0.1,1.07,14.35,25.88,3.89,1.25,6.2,0.042,2.26,1.9,0.26,3.43,0.63,3.98,2.07
10/6/2016,SB5,3.5,0.75,Surface,9:38,43.895,-83.8614,foggy,1.1,17.5,245.5,4,36.6,8.71,123,5.82,0.25,0.13,0.53,9.83,23.72,3.28,1.18,33.08,<0.002,1.25,1.6,0.2,3.11,0.4,4.02,1.69
10/6/2016,SB14,3.7,0.75,Surface,10:26,43.7375,-83.6415,foggy,1.1,17.4,248.5,3.9,37.9,8.41,138,6.7,0.54,0.13,1.84,27.28,26.98,3.48,1.1,978.42,0.026,1.25,1.89,0.25,3.25,0.47,8.4,4.11
6/1/2017,SB1,3.8,0.75,Surface,11:43,43.6401,-83.6619,clear,2,17.9,440.5,1.7,66.1,8.61,1024,1.93,<0.1,0.13,<0.018,2.39,15.6,5.12,1.08,12.21,1.213,7.72,0.73,0.06,5.94,3.79,2.5,0.71
6/1/2017,SB2,3.9,0.75,Surface,13:01,43.6675,-83.8075,clear,2,17.7,327.7,1.8,64.1,8.03,219,2.83,<0.1,0.2,<0.018,2.72,20.37,5.11,1.71,52.68,0.543,12.22,0.6,0.06,3.78,1.52,3.24,0.91
6/1/2017,SB4,6.3,0.75,Surface,9:12,43.7374,-83.8769,clear,2.5,15.6,349.8,3.3,43.4,8.86,132,5.39,<0.1,0.17,<0.018,9.57,20.16,3.83,1.07,11.23,0.723,6.94,0.84,0.11,3.87,1.73,6.24,1.83
6/1/2017,SB5,3.5,0.75,Surface,10:12,43.8962,-83.8649,clear,4,15.6,331,0.7,85,7.63,96,0.85,<0.1,0.2,<0.018,1.11,9.7,4.2,1.26,21.22,0.653,7.29,0.31,0.05,4,1.4,0.86,0.35
6/1/2017,SB14,3.8,0.75,Surface,11:10,43.7385,-83.641,clear,2,16.3,353.7,1.4,70.4,8.73,152,1.95,<0.1,<0.1,<0.018,3.26,11.3,3.32,1.1,15.73,0.857,6.08,0.49,0.07,4.12,2.15,2.5,0.77
6/14/2017,SB1,3.9,0.75,Surface,11:33,43.6393,-83.6607,cloudy/hazy,1.2,22.6,382.3,3.1,46.3,4.65,456,3.82,0.26,0.12,0.04,12.27,20.16,4.82,0.97,3.58,0.746,4.69,1.45,0.2,5.84,2.41,5.95,3.46
6/14/2017,SB2,4,0.75,Surface,12:10,43.6679,-83.8051,mostly cloudy/hazy,2,23.9,380.8,2,60.6,5.28,345,1.44,<0.1,0.18,0.02,6.07,20.75,6.99,1.39,37.61,0.775,9.02,0.59,0.1,6.7,3.06,3.22,1.49
6/14/2017,SB4,6.4,0.75,Surface,8:39,43.7392,-83.8748,partly cloudy,0.8,20.9,118.1,3.4,43,7.93,506,5.04,<0.1,0.35,0.13,9.99,22.2,3.81,1.51,6.32,0.71,5.73,0.81,0.13,4.19,1.65,7.38,2.16
6/14/2017,SB5,3,0.75,Surface,9:46,43.8977,-83.8566,cloudy/overcast,2,20.5,353.2,2.8,52.7,8.72,673,1.23,<0.1,0.25,<0.03,2.68,12.39,3.72,1.37,8.49,0.62,16.11,0.46,0.08,3.74,1.14,2,0.38
6/14/2017,SB14,3.9,0.75,Surface,10:54,43.7381,-83.6381,cloudy/hazy,1.5,22.7,355.3,3.1,45.8,8.35,796,2.08,0.19,<0.1,<0.03,13.86,16.08,3.26,1.84,4.56,0.966,3.14,1.53,0.2,4.5,1.6,4.55,2.74
6/28/2017,SB1,4.2,0.75,Surface,11:59,43.6439,-83.6615,party cloudy,1,19.5,348.1,2.1,58.7,7.14,134,3.2,<0.1,<0.1,0.35,4.46,43.75,29.88,20.31,83.39,2.575,17.93,1.2,0.05,8.52,7.07,3.22,1.23
6/28/2017,SB2,4.1,0.75,Surface,12:41,43.6651,-83.8079,mostly sunny,1,19.7,290.3,3.5,41.9,5.35,166,7.87,<0.1,<0.1,0.11,1.7,68.62,50.83,40.96,84.95,2.08,19.92,0.33,0.04,9.1,8.38,6.3,0.63
6/28/2017,SB4,6.4,0.75,Surface,9:08,43.7368,-83.8804,sunny,1,19.1,283.5,1.8,63.4,7.2,119,2.52,<0.1,<0.1,1.11,7.1,14.77,1.85,1.89,6.24,0.41,4.09,0.74,0.11,3.06,0.73,4.68,1.5
6/28/2017,SB5,3.5,0.75,Surface,10:08,43.8952,-83.8634,mostly sunny,3,,,,,,,0.59,<0.1,<0.1,0.69,1.67,8.79,1.81,2.52,19.11,0.441,2.1,0.29,0.05,3.22,0.9,0.78,0.57
6/28/2017,SB14,3.9,0.75,Surface,11:14,43.7368,-83.6414,mostly sunny,1.5,19.5,301.4,1.8,64.4,8.13,301,2.73,0.22,<0.1,1.48,6.18,13.04,3.38,6.89,15.99,0.524,117.75,0.71,0.11,3.48,0.82,3.58,1.45
7/6/2017,SB1,3.9,0.75,Surface,11:05,43.5891,-83.6621,clear/hazy,2.5,23.9,311.8,2,61.3,5.41,84,2.25,0.21,<0.1,3.39,14.55,27.1,7.53,4.73,15.29,2.266,3.65,0.81,0.14,7,6.1,2.2,1.82
7/6/2017,SB2,4.1,0.75,Surface,11:45,43.6673,-83.8078,clear/hazy,1.3,23.9,213.1,4,36.6,7.01,162,3.22,<0.1,<0.1,3.49,3.69,31.35,6.86,4.66,7.51,1.523,8.07,1.41,0.23,5.91,4.09,6.08,2.58
7/6/2017,SB4,6.5,0.75,Surface,8:33,43.7388,-83.8776,partly cloudy,3,22.3,282.7,1.5,68.3,8.26,111,1.24,0.14,<0.1,0.5,5.24,11.69,2.99,1.52,4.5,0.385,3.65,0.67,0.1,3.05,0.8,1.76,1.61
7/6/2017,SB5,3.7,0.75,Surface,9:24,43.8945,-83.8625,partly cloudy,4,23,276.4,1.2,73.8,7.32,127,0.75,0.23,<0.1,0.51,4.92,11.46,2.84,1.71,16.34,0.327,2.88,0.65,0.1,2.93,0.71,1.68,1.41
7/6/2017,SB14,3.9,0.75,Surface,10:27,43.7373,-83.6427,mostly sunny,4,21.8,195.5,1.4,69.9,7.59,193,1,0.13,<0.1,0.71,4.33,10.26,2.91,2.4,10.01,0.385,2.7,0.55,0.08,2.85,0.78,1.67,1.3
7/12/2017,SB1,4,0.75,Surface,11:08,43.6395,-83.6623,cloudy/overcast,2,24.4,343.2,1.9,61.8,8.8,106,6.3,1.33,0.25,9.09,11.81,19.25,5.94,2.58,9.09,1.661,1.23,1.33,0.16,6.95,4.74,3.4,3.26
7/12/2017,SB2,4.3,0.75,Surface,11:44,43.6667,-83.8063,cloudy/overcast,2,24.2,330.3,2.3,56.2,7.87,165,2.29,1.45,0.29,4.42,13.27,20.18,4.15,6.63,7.2,0.736,3.14,1.04,0.16,4.28,2.26,3.22,2.39
7/12/2017,SB4,6.3,0.75,Surface,8:34,43.7371,-83.8768,cloudy/overcast,3,22.8,267.8,1.7,64.6,8.74,230,1.34,0.44,0.25,0.58,8.65,10.34,2.17,0.99,10.48,0.311,2.79,0.73,0.11,2.65,0.71,1.64,1.82
7/12/2017,SB5,3.6,0.75,Surface,9:25,43.8962,-83.8601,cloudy/overcast,2.8,23.3,264.1,1.6,67.6,7.81,290,1.05,0.19,<0.1,2.11,6.96,11.73,2.24,1.11,9.85,0.23,2.44,0.95,0.14,2.87,0.65,2.44,1.7
7/12/2017,SB14,4,0.75,Surface,10:28,43.7379,-83.6413,cloudy/hazy,4.3,22.1,259.5,1.3,73,9.24,481,1.04,0.2,0.73,0.49,4.31,8.36,1.81,1.5,16.31,0.367,2.27,0.65,0.07,2.58,0.74,1.68,0.93
7/18/2017,SB1,4.1,0.75,Surface,12:30,43.64,-83.6636,partly cloudy,1.8,23.7,311.2,2.7,50.5,8.89,181,2.96,0.95,0.1,8.78,14.69,16.22,3.43,2.92,7.91,0.812,1.84,1.5,0.22,4.69,2.23,4.88,3.74
7/18/2017,SB2,4.1,0.75,Surface,13:09,43.6661,-83.8079,partly cloudy,1.3,23.7,241.4,3.7,39.6,8.48,574,4.2,1.69,0.16,13.89,23.32,34.07,7.34,3.35,17.65,0.624,3.48,1.78,0.27,4.85,2.42,6.96,3.9
7/18/2017,SB4,6.5,0.75,Surface,8:32,43.7371,-83.8797,clear,1.5,22.1,270,2.7,50.5,8.04,98,4.68,0.49,<0.1,2.14,10.89,17.75,3.29,2.54,16.75,0.269,2.27,0.96,0.15,3.06,0.71,6,2.42
7/18/2017,SB5,3.7,0.75,Surface,9:25,43.8956,-83.86,clear,1.7,22.5,262.1,2.7,51.1,9.28,126,1.97,1.14,0.13,3.44,13.4,13.94,4.38,2.39,11.98,0.149,2.1,1.56,0.23,3.26,0.61,4.96,3.62
7/18/2017,SB14,4.1,0.75,Surface,11:52,43.7379,-83.6405,clear,1.8,23.5,321.5,2.5,53.8,8.29,198,2.6,1.35,0.17,9.64,15.02,16.35,3.44,3.16,16.7,0.8,3.14,1.5,0.21,,2.21,4.92,3.26
7/25/2017,SB1,4.1,0.75,Surface,11:20,43.6405,-83.662,clear,0.8,23.9,338.4,6.4,20.3,7.86,812,7.94,3.41,<0.1,24.28,27.21,24.37,4.92,3.38,8.85,0.792,6.95,3.9,0.42,7.08,3.09,11.13,5.91
7/25/2017,SB2,4.4,0.75,Surface,11:59,43.6683,-83.8064,clear,1,23.7,356.2,4.2,34.9,6.57,1061,7.18,3.48,0.25,32.04,20.74,35.78,4.53,5.8,13.04,0.379,4.9,2.5,0.4,4.68,1.91,10.4,5.11
7/25/2017,SB4,6.6,0.75,Surface,8:50,43.7384,-83.8775,clear,1,23.1,271.8,4.8,30.1,7.53,572,7.56,1.44,<0.1,5.87,13.89,25.35,2.73,5.46,19.43,0.204,4.31,2.08,0.24,3.2,0.87,11.87,3.91
7/25/2017,SB5,3.9,0.75,Surface,9:41,43.8966,-83.8623,clear,1.3,23,178.3,3.6,40.5,6.24,965,3.37,1.16,0.1,5.97,16.2,14.73,2.19,4.03,10.62,0.032,2.41,2.22,0.3,3.21,0.6,8.4,5.24
7/25/2017,SB14,4.1,0.75,Surface,10:42,43.739,-83.6411,clear,1.3,23.3,154.1,2.8,49.4,5.86,1065,3.27,1.75,<0.1,12.3,14.95,16.22,4.24,5.45,11.99,0.779,5.04,1.79,0.23,4.29,2.03,5.6,3.89
8/1/2017,SB1,4,0.75,Surface,10:14,43.6404,-83.6619,scattered clouds,0.8,24.4,314,5.3,26.3,6.66,168,5.29,0.81,<0.1,15.54,22.6,20.4,3.04,4.68,41.32,0.553,4.16,3.52,0.4,5.58,2.1,10.8,5.64
8/1/2017,SB2,4.2,0.75,Surface,10:53,43.6671,-83.8076,partly cloudy,1,24.7,310,4.4,33.3,7.25,332,6.23,1.42,0.1,23.06,27.96,26.22,3.2,4.69,3.53,0.124,2.85,2.65,0.41,4.38,1.52,8.13,4.44
8/1/2017,SB4,6.5,0.75,Surface,7:44,43.7369,-83.878,scattered clouds,1.3,22.9,286.5,3.3,43.9,6.06,63,3.92,0.75,0.11,18.6,18.46,20.27,2.5,4.87,15.51,0.124,3.43,2.23,0.33,3.5,1.1,21,15.72
8/1/2017,SB5,3.8,0.75,Surface,8:33,43.8961,-83.8611,scattered clouds,1.5,23.2,197.6,3.8,38.3,7.64,172,3.71,0.31,<0.1,5.01,13.53,16.36,2,4.62,54.57,<0.002,7.09,2.64,0.32,3.35,0.66,8.48,5.02
8/1/2017,SB14,4.2,0.75,Surface,9:35,43.7382,-83.6404,scattered clouds,1.5,23.2,284.6,3.2,44.7,8.05,188,3.12,0.32,<0.1,10.41,16.07,13.64,2.23,3.84,47.27,0.518,4.16,2.17,0.29,4.4,1.51,4.1,2.93
8/16/2017,SB1,4,0.75,Surface,11:03,43.6399,-83.6615,partly cloudy,0.8,23.1,283.8,4.6,31.9,6.27,934,5.61,2.38,0.1,10.94,17.81,22.63,5.29,1.52,17.53,0.002,4.16,2.73,0.33,4.49,1.59,8.95,5.13
8/16/2017,SB2,4.1,0.75,Surface,11:42,43.6675,-83.8073,clear,1,23.3,270.8,4,37.4,5.94,937,6.54,3.77,<0.1,27.81,26.58,30.83,5.79,2.12,3.12,0.022,3.58,2.65,0.35,4.09,1.43,7.65,4.83
8/16/2017,SB4,5.9,0.75,Surface,8:32,43.7378,-83.8768,mostly cloudy,1.3,22.6,277.7,3.2,45.5,8.49,216,4.04,2.51,<0.1,18.06,19.06,24.84,6.44,9.39,5.77,0.023,2.99,1.98,0.3,3.36,0.83,5.45,3.03
8/16/2017,SB5,3.7,0.75,Surface,9:24,43.8965,-83.8605,partly cloudy,1.1,22.9,263.9,3.8,38.2,7.42,675,4.61,1.6,<0.1,8.55,13.86,21.11,4.14,3.7,4.18,0.006,2.26,2.34,0.3,3.28,0.8,8.05,4.58
8/16/2017,SB14,4,0.75,Surface,10:24,43.7387,-83.64,partly cloudy,1,23.3,274.4,4.2,35.3,7.69,581,6.81,1.63,0.11,16.83,16.53,23.05,3.8,3.34,6.33,0.015,4.46,2.39,0.36,3.87,1.1,9.15,5.03
8/23/2017,SB1,4,0.75,Surface,11:11,43.6404,-83.6625,scattered clouds,0.8,22.1,349.4,8.5,12.1,7.42,539,14.9,3.31,<0.1,20.92,31.27,46.1,12.77,4,7.8,0.009,4.6,4.89,0.62,4.86,1.56,26.2,14.36
8/23/2017,SB2,4.1,0.75,Surface,11:58,43.6674,-83.8093,scattered clouds,1.3,21.9,123.4,3.8,38.5,6.39,1033,6.9,2.67,<0.1,19.67,20.69,28.46,5.82,4.69,10.08,0.03,3.73,1.99,0.32,2.69,0.6,9.4,5.93
8/23/2017,SB4,6.2,0.75,Surface,8:49,43.7367,-83.8773,clear,1.3,,,,,,,5.83,2.08,<0.1,12.79,16.98,25.32,6.38,5.59,5.03,0.02,3.14,1.51,0.27,2.61,0.5,6.8,3.43
8/23/2017,SB5,3.8,0.75,Surface,9:29,43.896,-83.8627,clear,1.8,21.7,254.4,2.8,49.5,5.95,305,5.34,2.61,<0.1,8.84,15.74,22.45,8.08,9.08,124.61,0.007,2.99,1.84,0.28,2.92,0.63,6.55,2.68
8/23/2017,SB14,4,0.75,Surface,10:28,43.7386,-83.6405,scattered clouds,1.3,,,,,,,6.65,2.53,<0.1,11.28,21.09,24.43,4.89,5.29,12.17,0.03,2.41,2.21,0.33,2.61,0.48,10.95,4.03
8/30/2017,SB1,4,0.75,Surface,11:38,43.6402,-83.662,cloudy some fog,1.3,21,304.4,4.4,33.4,8.37,398,6.26,0.51,<0.1,3.69,12.34,22.05,5.43,3.16,2.31,0.01,3.43,2.56,0.28,4.32,1.18,7.8,6.43
8/30/2017,SB2,4.1,0.75,Surface,11:00,43.6674,-83.807,cloudy + hazy/fog,1.8,20.9,237.2,2.6,52,9.28,333,3.37,0.47,<0.1,3.86,10.5,18.39,4.74,3.37,2.26,0.01,2.41,1.38,0.18,2.62,0.51,6.2,4.08
8/30/2017,SB4,6.4,0.75,Surface,12:59,43.7377,-83.877,"partly cloudy, some haze",1.2,21.6,260.3,2.8,49.7,8.81,1443,3.52,0.3,<0.1,2.21,8.55,18.07,6.11,4.82,4.41,0.01,2.7,1,0.14,3.01,0.65,5.8,2.93
8/30/2017,SB14,4,0.75,Surface,12:13,43.7385,-83.6404,cloudy+fog,1.8,21,232.2,2.2,57.1,8.83,553,3.15,0.33,<0.1,1.7,7.49,13.13,4.63,3.93,52.51,0.01,1.82,1.25,0.14,2.44,0.41,4.65,5.58
9/7/2017,SB1,4,0.75,Surface,11:13,43.6407,-83.6627,mostly cloudy,0.5,18.2,333.8,7.4,15.9,8.24,550,14.1,0.71,0.12,11.52,25.37,39.94,5.64,4.13,6.46,0.054,2.99,3.82,0.48,4.43,1.16,19.7,11.28
9/7/2017,SB2,4.1,0.75,Surface,12:02,43.6677,-83.8082,scattered clouds,0.8,18.7,228,5.8,23.3,5.39,690,9.85,0.82,<0.1,11.31,23.03,41.19,6.25,3.23,4.82,0.008,2.26,2.37,0.3,3.9,1.11,11.85,8.28
9/7/2017,SB4,6.4,0.75,Surface,8:52,43.7384,-83.8772,mostly cloudy,0.8,18.8,290.8,5.4,26.1,7.49,118,8.04,0.62,0.19,14.86,17.82,33.44,6.36,4.74,14.64,0.008,2.85,1.82,0.27,3.8,0.79,11.05,3.83
9/7/2017,SB5,3.4,0.75,Surface,9:45,43.8972,-83.8615,mostly cloudy,1.1,18,255.1,3.8,39.1,8.59,235,5.18,0.3,0.29,2.93,8.71,20.77,5.75,5.55,6.79,0.004,2.55,1.56,0.18,2.95,0.55,7,5.88
9/13/2017,SB1,3.9,0.75,Surface,12:02,43.6403,-83.6619,scattered clouds,1,19.9,323.3,4.1,35.8,8.26,1228,4.72,0.2,0.11,0.95,8.22,20.31,6.26,2.43,10.05,0.005,3.57,2.28,0.23,4.73,1.13,7.05,3.18
9/13/2017,SB2,4,0.75,Surface,12:39,43.6676,-83.8073,mostly cloudy,1.3,19,292.3,3.5,41.3,9.16,511,3.87,0.18,<0.1,0.88,8.13,20.53,5.04,3.12,7.32,0.051,3.84,1.63,0.18,3.69,0.79,5.8,4.13
9/13/2017,SB4,6.4,0.75,Surface,8:31,43.7382,-83.8774,partly cloudy,1.3,18.6,302.9,3.2,45.4,7.56,136,5.49,0.15,0.11,1.64,7.31,22.04,6.11,3.37,7.18,0.003,2.17,1.15,0.17,3.16,0.83,5,3.53
9/13/2017,SB5,3.6,0.75,Surface,9:20,43.8971,-83.8613,partly cloudy,1.5,18.4,265.5,2.9,48.1,8.15,557,3.51,<0.1,<0.1,0.54,3.79,16.2,5.3,5.63,6.87,0.003,3.32,1.02,0.15,3.44,0.54,5.25,3.73
9/13/2017,SB14,3.9,0.75,Surface,11:27,43.7387,-83.6408,partly cloudy,1.3,18.6,245.9,3.5,42,9.05,537,3.34,0.34,<0.1,1.24,7.67,13.74,4.33,2.92,20.94,0.007,2.55,1.81,0.21,3.24,0.53,8.1,5.98
9/20/2017,SB1,3.9,0.75,Surface,11:39,43.6402,-83.6616,"mostly cloudy, some haze",1,20.5,146.5,5.2,27.5,6.12,276,6.38,0.18,0.1,2.33,11.96,25.89,4.66,4.75,13.7,0.028,2.48,2.87,0.34,4.5,0.92,10.05,4.78
9/20/2017,SB2,4.1,0.75,Surface,12:15,43.6672,-83.808,cloudy,1,21,336.4,5.3,26.4,7.69,467,6.58,0.16,0.11,3.09,12.81,26.66,5.43,3.88,23.11,0.009,4.04,2.66,0.34,4.55,1.05,10.1,5.98
9/20/2017,SB4,6.4,0.75,Surface,9:13,43.738,-83.8768,cloudy + overcast,1,20.1,325.7,5.1,27.8,6.47,180,7.88,0.57,0.14,10.22,16.9,31.3,4.43,5.5,83.22,0.01,3.23,1.79,0.33,3.6,0.86,8.65,4.03
